bairro;localizacao;preco;quartos;m2;corretora;data_anuncio;pm2
Asa Sul ;SQS 411 APARTAMENTO DE 02 QUARTOS NA ASA SUL DESOCUPADO. RWF;379000;2;52;8066;07/01/2014;7.288
Noroeste ;CLNW 10/11 ;379600;1;32;8015;26/01/2014;11.863
Asa Sul ;SQS 411 ;380000;2;57;17001;30/01/2014;6.667
Asa Sul ;EQS 502/503 - VAZADO - OPORTUNIDADE -;380000;1;45;13933;29/01/2014;8.444
Asa Sul ;SQS 411 LINDO APTO!  8408-4788;380000;2;56;19420;29/01/2014;6.786
Asa Sul ;SQS 411 ;380000;2;54;11983;28/01/2014;7.037
Asa Sul ;SQS 411 VAZADO - JK;380000;2;56;14367;28/01/2014;6.786
Asa Sul ;SQS 411 REFORMADO, 2? ANDAR, VISTA LIVRE;380000;2;50;11983;28/01/2014;7.600
Asa Sul ;SQS 411 SEMI REFORMADO, 2?QT AMPLIADO, V. LIVRE;380000;2;54;11983;28/01/2014;7.037
Asa Norte ;SCLRN 714 ;380000;3;88;5179;24/01/2014;4.318
Asa Norte ;SETOR SHTN - LAKESIDE;380000;1;37;5936;16/01/2014;10.270
Asa Norte ;SCLRN 707 LINDO! REFORMA DE ARQUITETO AC. FINANC. FGTS.;380000;2;47;10075;14/01/2014;8.085
Asa Norte ;SCRN 716 ;380000;2;50;5179;12/01/2014;7.600
Asa Sul ;SQS 408 2? ANDAR DE CANTO;380000;2;54,75;9572;11/01/2014;6.941
Sudoeste ;CLSW 102 AC TRC P/ CASA EM CONDOMINIO;380000;2;59;7560;30/12/2013;6.441
Asa Norte ;SCRN 706/707 BLOCO G ;380000;2;72;8538;18/12/2013;5.278
Sudoeste ;CLSW 300A NOVO! LINDO SALA, 01 QTO ARMS GAR EXCTE PRE?O R$$;380000;1;37;7037;06/12/2013;10.270
Sudoeste ;QRSW 01 OPORTUNIDADE! 9949-0121;385000;2;52;11476;28/01/2014;7.404
Asa Norte ;SQN 316 BLOCO K 3? ANDAR NASCENTE;385000;1;41;9600;26/12/2013;9.390
Asa Norte ;SHN QUADRA 01 OPORTUNIDADE ?NICA!;385000;1;34,27;13880;26/12/2013;11.234
Asa Sul ;SQS 411 - 02 QTS - 2? ANDAR - VAZADO;388000;2;56;13933;23/12/2013;6.929
Noroeste ;CLNW 10/11 LOTE A APTO CONJUGADO 1 QTO NOROESTE;390000;1;34;11000;30/01/2014;11.471
Noroeste ;CLNW 10/11 LOTE A APTO CONJUGADO 1 QTO NOROESTE;390000;1;34;11000;29/01/2014;11.471
Sudoeste ;CCSW 04 FEROLA VENDE OPORT - 9126-9022;390000;1;34;11476;28/01/2014;11.471
